Round,Date,Time,Team 1,FT,Team 2,Venue,Att
9,Sat Nov 28 2020,15:30,Union Berlin,3-3,Eint Frankfurt,Stadion An der Alten Försterei,
9,Sat Nov 28 2020,18:30,M'Gladbach,4-1,Schalke 04,Stadion im Borussia-Park,
9,Sun Nov 29 2020,15:30,Leverkusen,0-0,Hertha BSC,BayArena,
9,Sun Nov 29 2020,18:00,Mainz 05,1-1,Hoffenheim,Opel Arena,
10,Fri Dec 4 2020,20:30,Hertha BSC,3-1,Union Berlin,Olympiastadion Berlin,
10,Sat Dec 5 2020,15:30,Arminia,2-1,Mainz 05,SchücoArena,
10,Sat Dec 5 2020,15:30,Freiburg,2-2,M'Gladbach,Schwarzwald-Stadion,
10,Sat Dec 5 2020,15:30,Köln,2-2,Wolfsburg,RheinEnergieSTADION,
10,Sat Dec 5 2020,15:30,Eint Frankfurt,1-1,Dortmund,Commerzbank-Arena,
10,Sat Dec 5 2020,18:30,Bayern Munich,3-3,RB Leipzig,Allianz Arena,
10,Sun Dec 6 2020,15:30,Werder Bremen,1-2,Stuttgart,Weserstadion,
10,Sun Dec 6 2020,18:00,Schalke 04,0-3,Leverkusen,Veltins-Arena,
10,Mon Dec 7 2020,20:30,Hoffenheim,3-1,Augsburg,PreZero Arena,
11,Fri Dec 11 2020,20:30,Wolfsburg,2-1,Eint Frankfurt,Volkswagen Arena,
11,Sat Dec 12 2020,15:30,M'Gladbach,1-1,Hertha BSC,Stadion im Borussia-Park,
11,Sat Dec 12 2020,15:30,Dortmund,1-5,Stuttgart,Signal Iduna Park,
11,Sat Dec 12 2020,15:30,Freiburg,2-0,Arminia,Schwarzwald-Stadion,
11,Sat Dec 12 2020,15:30,Mainz 05,0-1,Köln,Opel Arena,
11,Sat Dec 12 2020,15:30,RB Leipzig,2-0,Werder Bremen,Red Bull Arena,
11,Sat Dec 12 2020,18:30,Union Berlin,1-1,Bayern Munich,Stadion An der Alten Försterei,
11,Sun Dec 13 2020,15:30,Augsburg,2-2,Schalke 04,WWK Arena,
11,Sun Dec 13 2020,18:00,Leverkusen,4-1,Hoffenheim,BayArena,
12,Tue Dec 15 2020,18:30,Eint Frankfurt,3-3,M'Gladbach,Commerzbank-Arena,
12,Tue Dec 15 2020,20:30,Werder Bremen,1-2,Dortmund,Weserstadion,
12,Tue Dec 15 2020,20:30,Stuttgart,2-2,Union Berlin,Mercedes-Benz Arena,
12,Tue Dec 15 2020,20:30,Hertha BSC,0-0,Mainz 05,Olympiastadion Berlin,
12,Wed Dec 16 2020,18:30,Schalke 04,0-2,Freiburg,Veltins-Arena,
12,Wed Dec 16 2020,20:30,Hoffenheim,0-1,RB Leipzig,PreZero Arena,
12,Wed Dec 16 2020,20:30,Köln,0-4,Leverkusen,RheinEnergieSTADION,
12,Wed Dec 16 2020,20:30,Bayern Munich,2-1,Wolfsburg,Allianz Arena,
12,Wed Dec 16 2020,20:30,Arminia,0-1,Augsburg,SchücoArena,
13,Fri Dec 18 2020,20:30,Union Berlin,2-1,Dortmund,Stadion An der Alten Försterei,
13,Sat Dec 19 2020,15:30,M'Gladbach,1-2,Hoffenheim,Stadion im Borussia-Park,
13,Sat Dec 19 2020,15:30,Mainz 05,0-1,Werder Bremen,Opel Arena,
13,Sat Dec 19 2020,15:30,Schalke 04,0-1,Arminia,Veltins-Arena,
13,Sat Dec 19 2020,15:30,RB Leipzig,0-0,Köln,Red Bull Arena,
13,Sat Dec 19 2020,15:30,Augsburg,0-2,Eint Frankfurt,WWK Arena,
13,Sat Dec 19 2020,18:30,Leverkusen,1-2,Bayern Munich,BayArena,
13,Sun Dec 20 2020,15:30,Freiburg,4-1,Hertha BSC,Schwarzwald-Stadion,
13,Sun Dec 20 2020,18:00,Wolfsburg,1-0,Stuttgart,Volkswagen Arena,
14,Sat Jan 2 2021,15:30,Köln,0-1,Augsburg,RheinEnergieSTADION,
14,Sat Jan 2 2021,15:30,Arminia,0-1,M'Gladbach,SchücoArena,
14,Sat Jan 2 2021,15:30,Eint Frankfurt,2-1,Leverkusen,Commerzbank-Arena,
14,Sat Jan 2 2021,15:30,Werder Bremen,0-2,Union Berlin,Weserstadion,
14,Sat Jan 2 2021,15:30,Hoffenheim,1-3,Freiburg,PreZero Arena,
14,Sat Jan 2 2021,18:30,Hertha BSC,3-0,Schalke 04,Olympiastadion Berlin,
14,Sat Jan 2 2021,20:30,Stuttgart,0-1,RB Leipzig,Mercedes-Benz Arena,
14,Sun Jan 3 2021,15:30,Dortmund,2-0,Wolfsburg,Signal Iduna Park,
14,Sun Jan 3 2021,18:00,Bayern Munich,5-2,Mainz 05,Allianz Arena,
15,Fri Jan 8 2021,20:30,M'Gladbach,,Bayern Munich,Stadion im Borussia-Park,
15,Sat Jan 9 2021,15:30,Schalke 04,,Hoffenheim,Veltins-Arena,
15,Sat Jan 9 2021,15:30,Union Berlin,,Wolfsburg,Stadion An der Alten Försterei,
15,Sat Jan 9 2021,15:30,Leverkusen,,Werder Bremen,BayArena,
15,Sat Jan 9 2021,15:30,Mainz 05,,Eint Frankfurt,Opel Arena,
15,Sat Jan 9 2021,15:30,Freiburg,,Köln,Schwarzwald-Stadion,
15,Sat Jan 9 2021,18:30,RB Leipzig,,Dortmund,Red Bull Arena,
15,Sun Jan 10 2021,15:30,Augsburg,,Stuttgart,WWK Arena,
15,Sun Jan 10 2021,18:00,Arminia,,Hertha BSC,SchücoArena,
16,Fri Jan 15 2021,20:30,Union Berlin,,Leverkusen,Stadion An der Alten Försterei,
16,Sat Jan 16 2021,15:30,Dortmund,,Mainz 05,Signal Iduna Park,
16,Sat Jan 16 2021,15:30,Köln,,Hertha BSC,RheinEnergieSTADION,
16,Sat Jan 16 2021,15:30,Hoffenheim,,Arminia,PreZero Arena,
16,Sat Jan 16 2021,15:30,Wolfsburg,,RB Leipzig,Volkswagen Arena,
16,Sat Jan 16 2021,15:30,Werder Bremen,,Augsburg,Weserstadion,
16,Sat Jan 16 2021,18:30,Stuttgart,,M'Gladbach,Mercedes-Benz Arena,
16,Sun Jan 17 2021,15:30,Bayern Munich,,Freiburg,Allianz Arena,
16,Sun Jan 17 2021,18:00,Eint Frankfurt,,Schalke 04,Commerzbank-Arena,
17,Tue Jan 19 2021,18:30,M'Gladbach,,Werder Bremen,Stadion im Borussia-Park,
17,Tue Jan 19 2021,20:30,Mainz 05,,Wolfsburg,Opel Arena,
17,Tue Jan 19 2021,20:30,Leverkusen,,Dortmund,BayArena,
17,Tue Jan 19 2021,20:30,Hertha BSC,,Hoffenheim,Olympiastadion Berlin,
17,Wed Jan 20 2021,18:30,Schalke 04,,Köln,Veltins-Arena,
17,Wed Jan 20 2021,20:30,RB Leipzig,,Union Berlin,Red Bull Arena,
17,Wed Jan 20 2021,20:30,Freiburg,,Eint Frankfurt,Schwarzwald-Stadion,
17,Wed Jan 20 2021,20:30,Arminia,,Stuttgart,SchücoArena,
17,Wed Jan 20 2021,20:30,Augsburg,,Bayern Munich,WWK Arena,
18,Fri Jan 22 2021,20:30,M'Gladbach,,Dortmund,Stadion im Borussia-Park,
18,Sat Jan 23 2021,15:30,Arminia,,Eint Frankfurt,SchücoArena,
18,Sat Jan 23 2021,15:30,Leverkusen,,Wolfsburg,BayArena,
18,Sat Jan 23 2021,15:30,Augsburg,,Union Berlin,WWK Arena,
18,Sat Jan 23 2021,15:30,Mainz 05,,RB Leipzig,Opel Arena,
18,Sat Jan 23 2021,15:30,Freiburg,,Stuttgart,Schwarzwald-Stadion,
18,Sat Jan 23 2021,18:30,Hertha BSC,,Werder Bremen,Olympiastadion Berlin,
18,Sun Jan 24 2021,15:30,Schalke 04,,Bayern Munich,Veltins-Arena,
18,Sun Jan 24 2021,18:00,Hoffenheim,,Köln,PreZero Arena,
19,Sat Jan 30 2021,,Stuttgart,,Mainz 05,Mercedes-Benz Arena,
19,Sat Jan 30 2021,,Dortmund,,Augsburg,Signal Iduna Park,
19,Sat Jan 30 2021,,Köln,,Arminia,RheinEnergieSTADION,
19,Sat Jan 30 2021,,Union Berlin,,M'Gladbach,Stadion An der Alten Försterei,
19,Sat Jan 30 2021,,Eint Frankfurt,,Hertha BSC,Commerzbank-Arena,
19,Sat Jan 30 2021,,Wolfsburg,,Freiburg,Volkswagen Arena,
19,Sat Jan 30 2021,,Bayern Munich,,Hoffenheim,Allianz Arena,
19,Sat Jan 30 2021,,Werder Bremen,,Schalke 04,Weserstadion,
19,Sat Jan 30 2021,,RB Leipzig,,Leverkusen,Red Bull Arena,
20,Sat Feb 6 2021,,Leverkusen,,Stuttgart,BayArena,
20,Sat Feb 6 2021,,M'Gladbach,,Köln,Stadion im Borussia-Park,
20,Sat Feb 6 2021,,Hoffenheim,,Eint Frankfurt,PreZero Arena,
20,Sat Feb 6 2021,,Schalke 04,,RB Leipzig,Veltins-Arena,
20,Sat Feb 6 2021,,Augsburg,,Wolfsburg,WWK Arena,
20,Sat Feb 6 2021,,Freiburg,,Dortmund,Schwarzwald-Stadion,
20,Sat Feb 6 2021,,Arminia,,Werder Bremen,SchücoArena,
20,Sat Feb 6 2021,,Hertha BSC,,Bayern Munich,Olympiastadion Berlin,
20,Sat Feb 6 2021,,Mainz 05,,Union Berlin,Opel Arena,
21,Sat Feb 13 2021,,Union Berlin,,Schalke 04,Stadion An der Alten Försterei,
21,Sat Feb 13 2021,,Dortmund,,Hoffenheim,Signal Iduna Park,
21,Sat Feb 13 2021,,Stuttgart,,Hertha BSC,Mercedes-Benz Arena,
21,Sat Feb 13 2021,,Wolfsburg,,M'Gladbach,Volkswagen Arena,
21,Sat Feb 13 2021,,Bayern Munich,,Arminia,Allianz Arena,
21,Sat Feb 13 2021,,Eint Frankfurt,,Köln,Commerzbank-Arena,
21,Sat Feb 13 2021,,Leverkusen,,Mainz 05,BayArena,
21,Sat Feb 13 2021,,Werder Bremen,,Freiburg,Weserstadion,
21,Sat Feb 13 2021,,RB Leipzig,,Augsburg,Red Bull Arena,
22,Sat Feb 20 2021,,M'Gladbach,,Mainz 05,Stadion im Borussia-Park,
22,Sat Feb 20 2021,,Schalke 04,,Dortmund,Veltins-Arena,
22,Sat Feb 20 2021,,Köln,,Stuttgart,RheinEnergieSTADION,
22,Sat Feb 20 2021,,Augsburg,,Leverkusen,WWK Arena,
22,Sat Feb 20 2021,,Hoffenheim,,Werder Bremen,PreZero Arena,
22,Sat Feb 20 2021,,Arminia,,Wolfsburg,SchücoArena,
22,Sat Feb 20 2021,,Freiburg,,Union Berlin,Schwarzwald-Stadion,
22,Sat Feb 20 2021,,Hertha BSC,,RB Leipzig,Olympiastadion Berlin,
22,Sat Feb 20 2021,,Eint Frankfurt,,Bayern Munich,Commerzbank-Arena,
23,Sat Feb 27 2021,,Wolfsburg,,Hertha BSC,Volkswagen Arena,
23,Sat Feb 27 2021,,Bayern Munich,,Köln,Allianz Arena,
23,Sat Feb 27 2021,,Mainz 05,,Augsburg,Opel Arena,
23,Sat Feb 27 2021,,Union Berlin,,Hoffenheim,Stadion An der Alten Försterei,
23,Sat Feb 27 2021,,Leverkusen,,Freiburg,BayArena,
23,Sat Feb 27 2021,,RB Leipzig,,M'Gladbach,Red Bull Arena,
23,Sat Feb 27 2021,,Dortmund,,Arminia,Signal Iduna Park,
23,Sat Feb 27 2021,,Werder Bremen,,Eint Frankfurt,Weserstadion,
23,Sat Feb 27 2021,,Stuttgart,,Schalke 04,Mercedes-Benz Arena,
24,Sat Mar 6 2021,,Hertha BSC,,Augsburg,Olympiastadion Berlin,
24,Sat Mar 6 2021,,Schalke 04,,Mainz 05,Veltins-Arena,
24,Sat Mar 6 2021,,M'Gladbach,,Leverkusen,Stadion im Borussia-Park,
24,Sat Mar 6 2021,,Freiburg,,RB Leipzig,Schwarzwald-Stadion,
24,Sat Mar 6 2021,,Arminia,,Union Berlin,SchücoArena,
24,Sat Mar 6 2021,,Köln,,Werder Bremen,RheinEnergieSTADION,
24,Sat Mar 6 2021,,Bayern Munich,,Dortmund,Allianz Arena,
24,Sat Mar 6 2021,,Eint Frankfurt,,Stuttgart,Commerzbank-Arena,
24,Sat Mar 6 2021,,Hoffenheim,,Wolfsburg,PreZero Arena,
25,Sat Mar 13 2021,,Werder Bremen,,Bayern Munich,Weserstadion,
25,Sat Mar 13 2021,,Wolfsburg,,Schalke 04,Volkswagen Arena,
25,Sat Mar 13 2021,,RB Leipzig,,Eint Frankfurt,Red Bull Arena,
25,Sat Mar 13 2021,,Mainz 05,,Freiburg,Opel Arena,
25,Sat Mar 13 2021,,Stuttgart,,Hoffenheim,Mercedes-Benz Arena,
25,Sat Mar 13 2021,,Dortmund,,Hertha BSC,Signal Iduna Park,
25,Sat Mar 13 2021,,Augsburg,,M'Gladbach,WWK Arena,
25,Sat Mar 13 2021,,Leverkusen,,Arminia,BayArena,
25,Sat Mar 13 2021,,Union Berlin,,Köln,Stadion An der Alten Försterei,
26,Sat Mar 20 2021,,Eint Frankfurt,,Union Berlin,Commerzbank-Arena,
26,Sat Mar 20 2021,,Bayern Munich,,Stuttgart,Allianz Arena,
26,Sat Mar 20 2021,,Arminia,,RB Leipzig,SchücoArena,
26,Sat Mar 20 2021,,Hoffenheim,,Mainz 05,PreZero Arena,
26,Sat Mar 20 2021,,Schalke 04,,M'Gladbach,Veltins-Arena,
26,Sat Mar 20 2021,,Werder Bremen,,Wolfsburg,Weserstadion,
26,Sat Mar 20 2021,,Hertha BSC,,Leverkusen,Olympiastadion Berlin,
26,Sat Mar 20 2021,,Köln,,Dortmund,RheinEnergieSTADION,
26,Sat Mar 20 2021,,Freiburg,,Augsburg,Schwarzwald-Stadion,
27,Sat Apr 3 2021,,Wolfsburg,,Köln,Volkswagen Arena,
27,Sat Apr 3 2021,,RB Leipzig,,Bayern Munich,Red Bull Arena,
27,Sat Apr 3 2021,,M'Gladbach,,Freiburg,Stadion im Borussia-Park,
27,Sat Apr 3 2021,,Mainz 05,,Arminia,Opel Arena,
27,Sat Apr 3 2021,,Augsburg,,Hoffenheim,WWK Arena,
27,Sat Apr 3 2021,,Union Berlin,,Hertha BSC,Stadion An der Alten Försterei,
27,Sat Apr 3 2021,,Leverkusen,,Schalke 04,BayArena,
27,Sat Apr 3 2021,,Stuttgart,,Werder Bremen,Mercedes-Benz Arena,
27,Sat Apr 3 2021,,Dortmund,,Eint Frankfurt,Signal Iduna Park,
28,Sat Apr 10 2021,,Hoffenheim,,Leverkusen,PreZero Arena,
28,Sat Apr 10 2021,,Werder Bremen,,RB Leipzig,Weserstadion,
28,Sat Apr 10 2021,,Eint Frankfurt,,Wolfsburg,Commerzbank-Arena,
28,Sat Apr 10 2021,,Bayern Munich,,Union Berlin,Allianz Arena,
28,Sat Apr 10 2021,,Hertha BSC,,M'Gladbach,Olympiastadion Berlin,
28,Sat Apr 10 2021,,Stuttgart,,Dortmund,Mercedes-Benz Arena,
28,Sat Apr 10 2021,,Schalke 04,,Augsburg,Veltins-Arena,
28,Sat Apr 10 2021,,Köln,,Mainz 05,RheinEnergieSTADION,
28,Sat Apr 10 2021,,Arminia,,Freiburg,SchücoArena,
29,Sat Apr 17 2021,,Augsburg,,Arminia,WWK Arena,
29,Sat Apr 17 2021,,Wolfsburg,,Bayern Munich,Volkswagen Arena,
29,Sat Apr 17 2021,,Mainz 05,,Hertha BSC,SchücoArena,
29,Sat Apr 17 2021,,Union Berlin,,Stuttgart,Stadion An der Alten Försterei,
29,Sat Apr 17 2021,,RB Leipzig,,Hoffenheim,Red Bull Arena,
29,Sat Apr 17 2021,,Freiburg,,Schalke 04,Schwarzwald-Stadion,
29,Sat Apr 17 2021,,M'Gladbach,,Eint Frankfurt,Stadion im Borussia-Park,
29,Sat Apr 17 2021,,Leverkusen,,Köln,BayArena,
29,Sat Apr 17 2021,,Dortmund,,Werder Bremen,Signal Iduna Park,
30,Wed Apr 21 2021,,Werder Bremen,,Mainz 05,Weserstadion,
30,Wed Apr 21 2021,,Stuttgart,,Wolfsburg,Mercedes-Benz Arena,
30,Wed Apr 21 2021,,Bayern Munich,,Leverkusen,Allianz Arena,
30,Wed Apr 21 2021,,Eint Frankfurt,,Augsburg,Commerzbank-Arena,
30,Wed Apr 21 2021,,Arminia,,Schalke 04,SchücoArena,
30,Wed Apr 21 2021,,Hertha BSC,,Freiburg,Olympiastadion Berlin,
30,Wed Apr 21 2021,,Köln,,RB Leipzig,RheinEnergieSTADION,
30,Wed Apr 21 2021,,Dortmund,,Union Berlin,Signal Iduna Park,
30,Wed Apr 21 2021,,Hoffenheim,,M'Gladbach,PreZero Arena,
31,Sat Apr 24 2021,,Freiburg,,Hoffenheim,Schwarzwald-Stadion,
31,Sat Apr 24 2021,,Augsburg,,Köln,WWK Arena,
31,Sat Apr 24 2021,,Schalke 04,,Hertha BSC,Veltins-Arena,
31,Sat Apr 24 2021,,Mainz 05,,Bayern Munich,Opel Arena,
31,Sat Apr 24 2021,,Union Berlin,,Werder Bremen,Stadion An der Alten Försterei,
31,Sat Apr 24 2021,,Wolfsburg,,Dortmund,Volkswagen Arena,
31,Sat Apr 24 2021,,RB Leipzig,,Stuttgart,Red Bull Arena,
31,Sat Apr 24 2021,,Leverkusen,,Eint Frankfurt,BayArena,
31,Sat Apr 24 2021,,M'Gladbach,,Arminia,Stadion im Borussia-Park,
32,Sat May 8 2021,,Werder Bremen,,Leverkusen,Weserstadion,
32,Sat May 8 2021,,Hoffenheim,,Schalke 04,PreZero Arena,
32,Sat May 8 2021,,Bayern Munich,,M'Gladbach,Allianz Arena,
32,Sat May 8 2021,,Dortmund,,RB Leipzig,Signal Iduna Park,
32,Sat May 8 2021,,Stuttgart,,Augsburg,Mercedes-Benz Arena,
32,Sat May 8 2021,,Hertha BSC,,Arminia,Olympiastadion Berlin,
32,Sat May 8 2021,,Eint Frankfurt,,Mainz 05,Commerzbank-Arena,
32,Sat May 8 2021,,Köln,,Freiburg,RheinEnergieSTADION,
32,Sat May 8 2021,,Wolfsburg,,Union Berlin,Volkswagen Arena,
33,Sat May 15 2021,15:30,Hertha BSC,,Köln,Olympiastadion Berlin,
33,Sat May 15 2021,15:30,Mainz 05,,Dortmund,Opel Arena,
33,Sat May 15 2021,15:30,RB Leipzig,,Wolfsburg,Red Bull Arena,
33,Sat May 15 2021,15:30,M'Gladbach,,Stuttgart,Stadion im Borussia-Park,
33,Sat May 15 2021,15:30,Arminia,,Hoffenheim,SchücoArena,
33,Sat May 15 2021,15:30,Schalke 04,,Eint Frankfurt,Veltins-Arena,
33,Sat May 15 2021,15:30,Augsburg,,Werder Bremen,WWK Arena,
33,Sat May 15 2021,15:30,Leverkusen,,Union Berlin,BayArena,
33,Sat May 15 2021,15:30,Freiburg,,Bayern Munich,Schwarzwald-Stadion,
34,Sat May 22 2021,15:30,Bayern Munich,,Augsburg,Allianz Arena,
34,Sat May 22 2021,15:30,Union Berlin,,RB Leipzig,Stadion An der Alten Försterei,
34,Sat May 22 2021,15:30,Werder Bremen,,M'Gladbach,Weserstadion,
34,Sat May 22 2021,15:30,Hoffenheim,,Hertha BSC,PreZero Arena,
34,Sat May 22 2021,15:30,Dortmund,,Leverkusen,Signal Iduna Park,
34,Sat May 22 2021,15:30,Stuttgart,,Arminia,Mercedes-Benz Arena,
34,Sat May 22 2021,15:30,Köln,,Schalke 04,RheinEnergieSTADION,
34,Sat May 22 2021,15:30,Eint Frankfurt,,Freiburg,Commerzbank-Arena,
34,Sat May 22 2021,15:30,Wolfsburg,,Mainz 05,Volkswagen Arena,
