Round,Date,Time,Team 1,FT,Team 2,Venue,Att
16,Tue Feb 9 2021,18:30,Sturm Graz,,Ried,Merkur Arena,
16,Tue Feb 9 2021,18:30,Hartberg,,WSG Wattens,PROfertil ARENA,
16,Tue Feb 9 2021,20:30,Rapid Wien,,Wolfsberger AC,Allianz Stadion,
16,Wed Feb 10 2021,18:30,Admira,,SCR Altach,BSFZ-Arena,
16,Wed Feb 10 2021,18:30,St. Pölten,,LASK,NV Arena,
16,Wed Feb 10 2021,20:30,RB Salzburg,,Austria Wien,Red Bull Arena,
17,Sat Feb 13 2021,17:00,Wolfsberger AC,,Admira,Lavanttal-Arena,
17,Sat Feb 13 2021,17:00,WSG Wattens,,RB Salzburg,Tivoli Stadion Tirol,
17,Sat Feb 13 2021,17:00,SCR Altach,,Rapid Wien,CASHPOINT Arena,
17,Sun Feb 14 2021,14:30,Austria Wien,,Hartberg,Generali Arena,
17,Sun Feb 14 2021,14:30,Ried,,St. Pölten,Josko Arena,
17,Sun Feb 14 2021,17:00,LASK,,Sturm Graz,TGW Arena,
18,Sat Feb 20 2021,17:00,WSG Wattens,,St. Pölten,Tivoli Stadion Tirol,
18,Sat Feb 20 2021,17:00,Austria Wien,,SCR Altach,Generali Arena,
18,Sat Feb 20 2021,17:00,Hartberg,,Ried,PROfertil ARENA,
18,Sun Feb 21 2021,14:30,Admira,,LASK,BSFZ-Arena,
18,Sun Feb 21 2021,14:30,Sturm Graz,,Wolfsberger AC,Merkur Arena,
18,Sun Feb 21 2021,17:00,RB Salzburg,,Rapid Wien,Red Bull Arena,
19,Sat Feb 27 2021,17:00,Rapid Wien,,Ried,Allianz Stadion,
19,Sat Feb 27 2021,17:00,Admira,,WSG Wattens,BSFZ-Arena,
19,Sat Feb 27 2021,17:00,LASK,,Hartberg,TGW Arena,
19,Sun Feb 28 2021,14:30,Wolfsberger AC,,SCR Altach,Lavanttal-Arena,
19,Sun Feb 28 2021,14:30,St. Pölten,,Austria Wien,NV Arena,
19,Sun Feb 28 2021,17:00,Sturm Graz,,RB Salzburg,Merkur Arena,
20,Sat Mar 6 2021,17:00,Hartberg,,Admira,PROfertil ARENA,
20,Sat Mar 6 2021,17:00,SCR Altach,,LASK,CASHPOINT Arena,
20,Sat Mar 6 2021,17:00,WSG Wattens,,Sturm Graz,Tivoli Stadion Tirol,
20,Sun Mar 7 2021,14:30,Ried,,Wolfsberger AC,Josko Arena,
20,Sun Mar 7 2021,14:30,RB Salzburg,,St. Pölten,Red Bull Arena,
20,Sun Mar 7 2021,17:00,Austria Wien,,Rapid Wien,Generali Arena,
21,Sun Mar 14 2021,,Wolfsberger AC,,WSG Wattens,Lavanttal-Arena,
21,Sun Mar 14 2021,,Rapid Wien,,Hartberg,Allianz Stadion,
21,Sun Mar 14 2021,,Ried,,LASK,Josko Arena,
21,Sun Mar 14 2021,,RB Salzburg,,Admira,Red Bull Arena,
21,Sun Mar 14 2021,,Sturm Graz,,Austria Wien,Merkur Arena,
21,Sun Mar 14 2021,,St. Pölten,,SCR Altach,NV Arena,
22,Sun Mar 21 2021,,WSG Wattens,,Rapid Wien,Tivoli Stadion Tirol,
22,Sun Mar 21 2021,,LASK,,RB Salzburg,TGW Arena,
22,Sun Mar 21 2021,,SCR Altach,,Ried,CASHPOINT Arena,
22,Sun Mar 21 2021,,Hartberg,,St. Pölten,PROfertil ARENA,
22,Sun Mar 21 2021,,Admira,,Sturm Graz,BSFZ-Arena,
22,Sun Mar 21 2021,,Austria Wien,,Wolfsberger AC,Generali Arena,
