Round,Date,Time,Team 1,FT,Team 2,Venue,Att,Comments
19,Sun Jan 24 2021,15:00,Genoa,,Cagliari,Stadio Comunale Luigi Ferraris,,
19,Sun Jan 24 2021,15:00,Hellas Verona,,Napoli,Stadio Marc'Antonio Bentegodi,,
19,Sun Jan 24 2021,18:00,Lazio,,Sassuolo,Stadio Olimpico,,
19,Sun Jan 24 2021,20:45,Parma,,Sampdoria,Stadio Ennio Tardini,,
20,Fri Jan 29 2021,20:45,Torino,,Fiorentina,Stadio Olimpico di Torino,,
20,Sat Jan 30 2021,15:00,Crotone,,Genoa,Stadio Ezio Scida,,
20,Sat Jan 30 2021,15:00,Bologna,,Milan,Stadio Renato Dall'Ara,,
20,Sat Jan 30 2021,15:00,Cagliari,,Sassuolo,Sardegna Arena,,
20,Sat Jan 30 2021,18:00,Sampdoria,,Juventus,Stadio Comunale Luigi Ferraris,,
20,Sat Jan 30 2021,20:45,Inter,,Benevento,Stadio Giuseppe Meazza,,
20,Sun Jan 31 2021,12:30,Spezia,,Udinese,Stadio Dino Manuzzi,,
20,Sun Jan 31 2021,15:00,Atalanta,,Lazio,Stadio Atleti Azzurri d'Italia,,
20,Sun Jan 31 2021,18:00,Napoli,,Parma,Stadio San Paolo,,
20,Sun Jan 31 2021,20:45,Roma,,Hellas Verona,Stadio Olimpico,,
21,Fri Feb 5 2021,20:45,Milan,,Crotone,Stadio Giuseppe Meazza,,
21,Fri Feb 5 2021,20:45,Fiorentina,,Inter,Stadio Artemio Franchi,,
21,Sat Feb 6 2021,15:00,Sassuolo,,Spezia,Stadio Città del Tricolore,,
21,Sat Feb 6 2021,15:00,Atalanta,,Torino,Stadio Atleti Azzurri d'Italia,,
21,Sat Feb 6 2021,18:00,Juventus,,Roma,Allianz Stadium,,
21,Sat Feb 6 2021,20:45,Genoa,,Napoli,Stadio Comunale Luigi Ferraris,,
21,Sun Feb 7 2021,12:30,Benevento,,Sampdoria,Stadio Ciro Vigorito,,
21,Sun Feb 7 2021,15:00,Udinese,,Hellas Verona,Dacia Arena,,
21,Sun Feb 7 2021,18:00,Parma,,Bologna,Stadio Ennio Tardini,,
21,Sun Feb 7 2021,20:45,Lazio,,Cagliari,Stadio Olimpico,,
22,Fri Feb 12 2021,20:45,Bologna,,Benevento,Stadio Renato Dall'Ara,,
22,Sat Feb 13 2021,15:00,Torino,,Genoa,Stadio Olimpico di Torino,,
22,Sat Feb 13 2021,18:00,Napoli,,Juventus,Stadio San Paolo,,
22,Sat Feb 13 2021,20:45,Spezia,,Milan,Stadio Dino Manuzzi,,
22,Sun Feb 14 2021,12:30,Roma,,Udinese,Stadio Olimpico,,
22,Sun Feb 14 2021,15:00,Sampdoria,,Fiorentina,Stadio Comunale Luigi Ferraris,,
22,Sun Feb 14 2021,15:00,Cagliari,,Atalanta,Sardegna Arena,,
22,Sun Feb 14 2021,18:00,Crotone,,Sassuolo,Stadio Ezio Scida,,
22,Sun Feb 14 2021,20:45,Inter,,Lazio,Stadio Giuseppe Meazza,,
22,Mon Feb 15 2021,20:45,Hellas Verona,,Parma,Stadio Marc'Antonio Bentegodi,,
23,Fri Feb 19 2021,18:30,Fiorentina,,Spezia,Stadio Artemio Franchi,,
23,Fri Feb 19 2021,20:45,Cagliari,,Torino,Sardegna Arena,,
23,Sat Feb 20 2021,15:00,Lazio,,Sampdoria,Stadio Olimpico,,
23,Sat Feb 20 2021,18:00,Genoa,,Hellas Verona,Stadio Comunale Luigi Ferraris,,
23,Sat Feb 20 2021,20:45,Sassuolo,,Bologna,Stadio Città del Tricolore,,
23,Sun Feb 21 2021,12:30,Parma,,Udinese,Stadio Ennio Tardini,,
23,Sun Feb 21 2021,15:00,Milan,,Inter,Stadio Giuseppe Meazza,,
23,Sun Feb 21 2021,18:00,Atalanta,,Napoli,Stadio Atleti Azzurri d'Italia,,
23,Sun Feb 21 2021,20:45,Benevento,,Roma,Stadio Ciro Vigorito,,
