Round,Date,Time,Team 1,FT,Team 2,Venue
11,Sun Sep 20 2020,18:15,Botafogo (RJ),0-0,Santos,Estádio Nilton Santos
11,Sun Sep 20 2020,20:30,Sport Recife,1-0,Fluminense,Estádio Adelmar da Costa Carvalho
12,Wed Sep 23 2020,21:30,Sport Recife,1-0,Corinthians,Estádio Adelmar da Costa Carvalho
12,Sat Sep 26 2020,19:00,Atl Paranaense,1-0,Bahia,Estádio Joaquim Américo Guimarães
12,Sat Sep 26 2020,19:00,Internacional,1-1,São Paulo,Estádio José Pinheiro Borba
12,Sat Sep 26 2020,21:00,Atlético Mineiro,3-1,Grêmio,Estádio Raimundo Sampaio
12,Sun Sep 27 2020,11:00,Vasco da Gama,1-1,Bragantino,Estádio Club de Regatas Vasco da Gama
12,Sun Sep 27 2020,16:00,Palmeiras,1-1,Flamengo,Allianz Parque
12,Sun Sep 27 2020,18:15,Atl Goianiense,1-1,Botafogo (RJ),Estádio Olímpico Pedro Ludovico Teixeira
12,Sun Sep 27 2020,18:15,Ceará,2-2,Goiás,Estádio Castelão
12,Sun Sep 27 2020,20:30,Santos,1-1,Fortaleza,Estádio Urbano Caldeira
12,Mon Sep 28 2020,20:00,Fluminense,4-0,Coritiba,Estadio Jornalista Mário Filho
1,Wed Sep 30 2020,21:30,Botafogo (RJ),1-2,Bahia,Estádio Nilton Santos
1,Wed Sep 30 2020,21:30,Corinthians,0-0,Atl Goianiense,Arena Corinthians
13,Sat Oct 3 2020,17:00,Grêmio,1-1,Internacional,Arena do Grêmio
13,Sat Oct 3 2020,19:00,Palmeiras,2-1,Ceará,Allianz Parque
13,Sat Oct 3 2020,21:00,Bragantino,0-0,Corinthians,Estádio Nabi Abi Chedid
13,Sun Oct 4 2020,11:00,Botafogo (RJ),1-1,Fluminense,Estádio Nilton Santos
13,Sun Oct 4 2020,16:00,Flamengo,3-1,Atl Paranaense,Estadio Jornalista Mário Filho
13,Sun Oct 4 2020,16:00,Coritiba,1-1,São Paulo,Estádio Major Antônio Couto Pereira
13,Sun Oct 4 2020,18:15,Fortaleza,0-0,Atl Goianiense,Estádio Castelão
13,Sun Oct 4 2020,18:15,Bahia,1-2,Sport Recife,Estádio Governador Roberto Santos
13,Sun Oct 4 2020,18:15,Goiás,2-3,Santos,Estádio de Hailé Pinheiro
13,Sun Oct 4 2020,20:30,Atlético Mineiro,4-1,Vasco da Gama,Estádio Raimundo Sampaio
14,Wed Oct 7 2020,19:00,Corinthians,1-1,Santos,Arena Corinthians
14,Wed Oct 7 2020,19:15,Bahia,3-0,Vasco da Gama,Estádio Governador Roberto Santos
14,Wed Oct 7 2020,19:15,Flamengo,3-0,Sport Recife,Estadio Jornalista Mário Filho
14,Wed Oct 7 2020,19:15,Grêmio,2-1,Coritiba,Arena do Grêmio
14,Wed Oct 7 2020,20:30,São Paulo,3-0,Atl Goianiense,Estádio do Morumbi
14,Wed Oct 7 2020,20:30,Goiás,2-4,Fluminense,Estádio de Hailé Pinheiro
14,Wed Oct 7 2020,21:30,Fortaleza,2-1,Atlético Mineiro,Estádio Castelão
14,Wed Oct 7 2020,21:30,Botafogo (RJ),2-1,Palmeiras,Estádio Nilton Santos
14,Thu Oct 8 2020,19:00,Atl Paranaense,0-0,Ceará,Estádio Joaquim Américo Guimarães
14,Thu Oct 8 2020,21:00,Bragantino,0-2,Internacional,Estádio Nabi Abi Chedid
15,Sat Oct 10 2020,17:00,Vasco da Gama,1-2,Flamengo,Estádio Club de Regatas Vasco da Gama
15,Sat Oct 10 2020,19:00,Coritiba,0-0,Fortaleza,Estádio Major Antônio Couto Pereira
15,Sat Oct 10 2020,19:00,Palmeiras,0-2,São Paulo,Allianz Parque
15,Sat Oct 10 2020,21:00,Atlético Mineiro,3-0,Goiás,Estádio Raimundo Sampaio
15,Sun Oct 11 2020,16:00,Fluminense,1-0,Bahia,Estadio Jornalista Mário Filho
15,Sun Oct 11 2020,16:00,Santos,2-1,Grêmio,Estádio Urbano Caldeira
15,Sun Oct 11 2020,18:15,Sport Recife,1-2,Botafogo (RJ),Estádio Adelmar da Costa Carvalho
15,Sun Oct 11 2020,18:15,Atl Goianiense,2-1,Bragantino,Estádio Olímpico Pedro Ludovico Teixeira
15,Sun Oct 11 2020,20:30,Ceará,2-1,Corinthians,Estádio Castelão
15,Sun Oct 11 2020,20:30,Internacional,2-1,Atl Paranaense,Estádio José Pinheiro Borba
11,Tue Oct 13 2020,18:00,Flamengo,2-1,Goiás,Estadio Jornalista Mário Filho
16,Wed Oct 14 2020,18:00,Palmeiras,1-3,Coritiba,Allianz Parque
16,Wed Oct 14 2020,19:15,Grêmio,3-1,Botafogo (RJ),Arena do Grêmio
16,Wed Oct 14 2020,20:30,Santos,0-1,Atl Goianiense,Estádio Urbano Caldeira
16,Wed Oct 14 2020,21:30,Atlético Mineiro,1-1,Fluminense,Estádio Raimundo Sampaio
16,Wed Oct 14 2020,21:30,Sport Recife,3-5,Internacional,Estádio Adelmar da Costa Carvalho
16,Wed Oct 14 2020,21:30,Atl Paranaense,0-1,Corinthians,Estádio Joaquim Américo Guimarães
16,Thu Oct 15 2020,20:00,Flamengo,1-1,Bragantino,Estadio Jornalista Mário Filho
16,Fri Oct 16 2020,20:00,Goiás,1-1,Bahia,Estádio de Hailé Pinheiro
17,Sat Oct 17 2020,19:00,Fluminense,2-2,Ceará,Estadio Jornalista Mário Filho
17,Sat Oct 17 2020,19:00,Atl Goianiense,1-1,Atl Paranaense,Estádio Olímpico Pedro Ludovico Teixeira
17,Sat Oct 17 2020,19:00,Coritiba,1-2,Santos,Estádio Major Antônio Couto Pereira
17,Sat Oct 17 2020,21:00,São Paulo,0-0,Grêmio,Estádio do Morumbi
17,Sun Oct 18 2020,16:00,Corinthians,1-5,Flamengo,Arena Corinthians
17,Sun Oct 18 2020,18:15,Internacional,2-0,Vasco da Gama,Estádio José Pinheiro Borba
17,Sun Oct 18 2020,20:30,Bragantino,2-0,Sport Recife,Estádio Nabi Abi Chedid
17,Sun Oct 18 2020,20:30,Fortaleza,2-0,Palmeiras,Estádio Castelão
17,Mon Oct 19 2020,20:00,Botafogo (RJ),0-0,Goiás,Estádio Nilton Santos
17,Mon Oct 19 2020,20:00,Bahia,3-1,Atlético Mineiro,Estádio Governador Roberto Santos
18,Wed Oct 21 2020,21:30,Vasco da Gama,1-2,Corinthians,Estádio Club de Regatas Vasco da Gama
18,Sat Oct 24 2020,17:00,Bragantino,2-0,Goiás,Estádio Nabi Abi Chedid
18,Sat Oct 24 2020,19:00,Ceará,2-1,Coritiba,Estádio Castelão
18,Sat Oct 24 2020,22:00,Atlético Mineiro,0-0,Sport Recife,Estádio Raimundo Sampaio
18,Sun Oct 25 2020,16:00,Fluminense,3-1,Santos,Estadio Jornalista Mário Filho
18,Sun Oct 25 2020,16:00,Atl Goianiense,0-3,Palmeiras,Estádio Olímpico Pedro Ludovico Teixeira
18,Sun Oct 25 2020,18:15,Internacional,2-2,Flamengo,Estádio José Pinheiro Borba
18,Sun Oct 25 2020,18:15,Atl Paranaense,1-2,Grêmio,Estádio Joaquim Américo Guimarães
19,Sat Oct 31 2020,17:00,Botafogo (RJ),2-2,Ceará,Estádio Nilton Santos
19,Sat Oct 31 2020,19:00,Coritiba,1-0,Atl Goianiense,Estádio Major Antônio Couto Pereira
19,Sat Oct 31 2020,19:00,Corinthians,1-0,Internacional,Arena Corinthians
19,Sat Oct 31 2020,21:00,Fortaleza,0-1,Fluminense,Estádio Castelão
19,Sun Nov 1 2020,16:00,Sport Recife,1-0,Atl Paranaense,Estádio Adelmar da Costa Carvalho
19,Sun Nov 1 2020,16:00,Flamengo,1-4,São Paulo,Estadio Jornalista Mário Filho
19,Sun Nov 1 2020,18:15,Santos,3-1,Bahia,Estádio Urbano Caldeira
19,Sun Nov 1 2020,20:30,Goiás,1-1,Vasco da Gama,Estádio de Hailé Pinheiro
19,Mon Nov 2 2020,17:00,Palmeiras,3-0,Atlético Mineiro,Allianz Parque
