Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Apertura,8,Fri Sep 4 2020,02:00,Gallos Blancos,,,Deportivo Toluca
Apertura,8,Fri Sep 4 2020,04:00,CF Pachuca,,,Atlético San Luis
Apertura,8,Sat Sep 5 2020,02:30,Club Necaxa,,,Club León
Apertura,8,Sat Sep 5 2020,04:30,FC Juárez,,,Santos Laguna
Apertura,8,Sun Sep 6 2020,00:00,Pumas UNAM,,,Puebla FC
Apertura,8,Sun Sep 6 2020,02:00,Atlas Guadalajara,,,Cruz Azul
Apertura,8,Sun Sep 6 2020,04:00,Club Tijuana,,,CF Monterrey
Apertura,8,Sun Sep 6 2020,04:00,UANL Tigres,,,Deportivo Guadalajara
Apertura,8,Mon Sep 7 2020,00:30,CF América,,,Mazatlán FC
Apertura,9,Wed Sep 9 2020,00:00,Atlético San Luis,,,Club Necaxa
Apertura,9,Wed Sep 9 2020,02:00,CF Monterrey,,,Atlas Guadalajara
Apertura,9,Wed Sep 9 2020,02:00,Deportivo Toluca,,,FC Juárez
Apertura,9,Wed Sep 9 2020,04:00,Deportivo Guadalajara,,,Gallos Blancos
Apertura,9,Wed Sep 9 2020,04:00,Puebla FC,,,CF América
Apertura,9,Thu Sep 10 2020,00:00,Club León,,,UANL Tigres
Apertura,9,Thu Sep 10 2020,02:00,Cruz Azul,,,CF Pachuca
Apertura,9,Thu Sep 10 2020,04:00,Mazatlán FC,,,Club Tijuana
Apertura,9,Thu Sep 10 2020,04:00,Santos Laguna,,,Pumas UNAM
Apertura,10,Sat Sep 12 2020,02:30,Club Necaxa,,,Deportivo Guadalajara
Apertura,10,Sat Sep 12 2020,04:30,FC Juárez,,,Puebla FC
Apertura,10,Sun Sep 13 2020,00:00,Atlas Guadalajara,,,Mazatlán FC
Apertura,10,Sun Sep 13 2020,02:00,UANL Tigres,,,Santos Laguna
Apertura,10,Sun Sep 13 2020,04:00,CF América,,,Deportivo Toluca
Apertura,10,Sun Sep 13 2020,19:00,Pumas UNAM,,,Atlético San Luis
Apertura,10,Mon Sep 14 2020,02:00,Gallos Blancos,,,Club León
Apertura,10,Mon Sep 14 2020,04:00,Club Tijuana,,,Cruz Azul
Apertura,10,Tue Sep 15 2020,04:00,CF Pachuca,,,CF Monterrey
Apertura,11,Sat Sep 19 2020,02:30,Club Necaxa,,,Puebla FC
Apertura,11,Sat Sep 19 2020,04:00,Club Tijuana,,,FC Juárez
Apertura,11,Sat Sep 19 2020,04:30,Mazatlán FC,,,Cruz Azul
Apertura,11,Sun Sep 20 2020,00:00,Atlas Guadalajara,,,CF Pachuca
Apertura,11,Sun Sep 20 2020,02:00,UANL Tigres,,,Gallos Blancos
Apertura,11,Sun Sep 20 2020,04:00,CF América,,,Deportivo Guadalajara
Apertura,11,Sun Sep 20 2020,19:00,Deportivo Toluca,,,Santos Laguna
Apertura,11,Mon Sep 21 2020,02:00,Atlético San Luis,,,CF Monterrey
Apertura,11,Tue Sep 22 2020,03:30,Club León,,,Pumas UNAM
Apertura,12,Sat Sep 26 2020,02:30,Puebla FC,,,Gallos Blancos
Apertura,12,Sat Sep 26 2020,04:30,FC Juárez,,,Atlas Guadalajara
Apertura,12,Sun Sep 27 2020,00:00,Deportivo Guadalajara,,,Mazatlán FC
Apertura,12,Sun Sep 27 2020,02:00,Pumas UNAM,,,Club Necaxa
Apertura,12,Sun Sep 27 2020,04:00,CF Monterrey,,,UANL Tigres
Apertura,12,Mon Sep 28 2020,00:00,Atlético San Luis,,,Club León
Apertura,12,Mon Sep 28 2020,02:00,Santos Laguna,,,Club Tijuana
Apertura,12,Mon Sep 28 2020,03:45,Cruz Azul,,,CF América
Apertura,12,Tue Sep 29 2020,04:00,CF Pachuca,,,Deportivo Toluca
Apertura,13,Sat Oct 3 2020,02:30,Puebla FC,,,Santos Laguna
Apertura,13,Sat Oct 3 2020,04:30,FC Juárez,,,CF Pachuca
Apertura,13,Sun Oct 4 2020,00:00,Atlas Guadalajara,,,Club Necaxa
Apertura,13,Sun Oct 4 2020,02:00,UANL Tigres,,,Atlético San Luis
Apertura,13,Sun Oct 4 2020,04:00,CF América,,,Pumas UNAM
Apertura,13,Sun Oct 4 2020,19:00,Deportivo Toluca,,,Cruz Azul
Apertura,13,Mon Oct 5 2020,02:00,Gallos Blancos,,,CF Monterrey
Apertura,13,Mon Oct 5 2020,04:00,Club Tijuana,,,Deportivo Guadalajara
Apertura,13,Tue Oct 6 2020,04:00,Club León,,,Mazatlán FC
Apertura,14,Fri Oct 16 2020,04:00,Atlético San Luis,,,Gallos Blancos
Apertura,14,Sat Oct 17 2020,02:30,Club Necaxa,,,Club Tijuana
Apertura,14,Sat Oct 17 2020,04:30,Mazatlán FC,,,FC Juárez
Apertura,14,Sun Oct 18 2020,00:00,CF Monterrey,,,Puebla FC
Apertura,14,Sun Oct 18 2020,02:00,Deportivo Guadalajara,,,Atlas Guadalajara
Apertura,14,Sun Oct 18 2020,04:00,Cruz Azul,,,UANL Tigres
Apertura,14,Sun Oct 18 2020,19:00,Pumas UNAM,,,Deportivo Toluca
Apertura,14,Mon Oct 19 2020,02:00,Santos Laguna,,,CF Pachuca
Apertura,14,Tue Oct 20 2020,04:00,Club León,,,CF América
Apertura,15,Sat Oct 24 2020,02:30,Puebla FC,,,Club León
Apertura,15,Sat Oct 24 2020,04:30,Mazatlán FC,,,CF Monterrey
Apertura,15,Sun Oct 25 2020,00:00,Gallos Blancos,,,Club Necaxa
Apertura,15,Sun Oct 25 2020,02:00,UANL Tigres,,,FC Juárez
Apertura,15,Sun Oct 25 2020,03:00,CF América,,,Atlas Guadalajara
Apertura,15,Sun Oct 25 2020,19:00,Deportivo Toluca,,,Club Tijuana
Apertura,15,Mon Oct 26 2020,00:30,Deportivo Guadalajara,,,Cruz Azul
Apertura,15,Mon Oct 26 2020,02:00,Santos Laguna,,,Atlético San Luis
Apertura,15,Tue Oct 27 2020,04:00,CF Pachuca,,,Pumas UNAM
Apertura,16,Fri Oct 30 2020,04:00,Atlético San Luis,,,Mazatlán FC
Apertura,16,Sat Oct 31 2020,02:30,Club Necaxa,,,Deportivo Toluca
Apertura,16,Sat Oct 31 2020,04:00,Club Tijuana,,,CF Pachuca
Apertura,16,Sat Oct 31 2020,04:30,FC Juárez,,,Gallos Blancos
Apertura,16,Sun Nov 1 2020,00:00,Atlas Guadalajara,,,Puebla FC
Apertura,16,Sun Nov 1 2020,02:00,Pumas UNAM,,,Deportivo Guadalajara
Apertura,16,Sun Nov 1 2020,04:00,CF Monterrey,,,Cruz Azul
Apertura,16,Mon Nov 2 2020,00:30,CF América,,,UANL Tigres
Apertura,16,Tue Nov 3 2020,04:00,Club León,,,Santos Laguna
Apertura,17,Sat Nov 7 2020,02:30,Puebla FC,,,Atlético San Luis
Apertura,17,Sat Nov 7 2020,04:30,FC Juárez,,,CF América
Apertura,17,Sun Nov 8 2020,00:00,Deportivo Guadalajara,,,CF Monterrey
Apertura,17,Sun Nov 8 2020,02:00,UANL Tigres,,,Atlas Guadalajara
Apertura,17,Sun Nov 8 2020,04:00,Cruz Azul,,,Pumas UNAM
Apertura,17,Sun Nov 8 2020,19:00,Deportivo Toluca,,,Club León
Apertura,17,Mon Nov 9 2020,02:00,Santos Laguna,,,Mazatlán FC
Apertura,17,Mon Nov 9 2020,04:00,Gallos Blancos,,,Club Tijuana
Apertura,17,Tue Nov 10 2020,04:00,CF Pachuca,,,Club Necaxa
